2   O=C(N1[C@@H](CCC1)C(=O)NNC(=O)N)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H]1NC(=O)CC1)Cc1[nH]cnc1)Cc1c2c([nH]c1)cccc2)CO)Cc1ccc(O)cc1)COC(C)(C)C)CC(C)C)CCCN=C(N)N	[NO NAME]
634   S(P(=S)(OC)OC)C(CC(=O)OCC)C(=O)OCC	772

650   [Gd+3].O[C@@H]([C@H](O)[C@H](O)CO)[C@@H](O)CNC.O[C@@H]([C@H](O)[C@H](O)CO)[C@@H](O)CNC.[O-]C(=O)CN(CCN(CC(=O)O)CC(=O)[O-])CCN(CC(=O)O)CC(=O)[O-]	789

652   ClCCN(CCCl)c1c(=O)[nH]c(=O)[nH]c1	791

654   IC#CCOc1c(Cl)cc(Cl)c(Cl)c1	793

661   Clc1c2c(C(CNCC2)c2ccc(O)cc2)cc(O)c1O	800

662   Clc1cc2c(N(CC(F)(F)F)C(=O)CN=C2c2ccccc2)cc1	801

669   Clc1c(S(=O)(=O)N)cc(C(=O)NN2C(Cc3c2cccc3)C)cc1	808

676   [Na+].CCCCCCCCCCCCOS(=O)(=O)[O-]	

682   Clc1cc2c3c([nH]c2cc1)cc(C(C)C(=O)O)cc3	821

686   CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O	menthol

689   P(=O)(O)(O)[C@H]1O[C@H]1C	828

690   Clc1cc2c(N(C(=O)CN=C2c2ccccc2)C)cc1	829

694   [C@@H]12N(C(=C(CS1)Cl)C(=O)O)C(=O)[C@H]2NC(=O)[C@@H](c1ccccc1)N	

696   Brc1ccc(C(CCN(C)C)c2ncccc2)cc1	835

697   Clc1ccc(C2(O)CCN(CC2)CCC(c2ccccc2)(c2ccccc2)C(=O)N(C)C)cc1	836

698   C(CC(=N)O)C/N=C(/c1ccc(cc1)Cl)\c1cc(ccc1O)F	

